C2_SimpleBashUtils,,350
C3_s21_stringplus,C2_SimpleBashUtils,750
C4_s21_math,C3_s21_stringplus,300
C5_s21_decimal,C4_s21_math,350
C6_s21_matrix,C5_s21_decimal,300
C7_SmartCalc,C6_s21_matrix,650
C8_3DViewer,C7_SmartCalc,1043
CPP1_s21_matrixplus,C8_3DViewer,300
CPP2_s21_containers,CPP1_s21_matrixplus,500
CPP3_SmartCalc_v2.0,CPP2_s21_containers,600
CPP4_3DViewer_v2.0,CPP3_SmartCalc_v2.0,750
CPP5_3DViewer_v2.1,CPP4_3DViewer_v2.0,600
CPP6_3DViewer_v2.2,CPP4_3DViewer_v2.0,800
CPP7_MLP,CPP4_3DViewer_v2.0,700
CPP8_PhotoLab_v1.0,CPP4_3DViewer_v2.0,450
CPP9_MonitoringSystem,CPP4_3DViewer_v2.0,1000
DO1_Linux,C3_s21_stringplus,300
DO2_LinuxNetwork,DO1_Linux,250
DO3_LinuxMonitoring_v1.0,DO2_LinuxNetwork,350
DO4_SimpleDocker,DO3_LinuxMonitoring_v1.0,300
DO5_LinuxMonitoring_v2.0,DO3_LinuxMonitoring_v1.0,350
DO6_CICD,DO4_SimpleDocker,300
A1_Maze,CPP4_3DViewer_v2.0,300
A2_SimpleNavigator_v1.0,A1_Maze,400
A3_Parallels,A2_SimpleNavigator_v1.0,300
A4_Crypto,A2_SimpleNavigator_v1.0,350
A5_s21_memory,A2_SimpleNavigator_v1.0,400
A6_Transactions,A2_SimpleNavigator_v1.0,700
A7_DNA_Analyzer,A2_SimpleNavigator_v1.0,800
A8_Algorithmic_trading,A2_SimpleNavigator_v1.0,800
